google_type,mapping
BAKERY,"BAKERY, WHOLESALE/RETAIL"
BOOK_STORE,BOOK_STORE
BAR,BAR
BOWLING_ALLEY,BOWLING_ALLEY
CAFE,RESTAURANTS
CAR_DEALER,CAR_DEALER
CAR_RENTAL,CAR_RENTAL
CAR_REPAIR,"AUTO REPAIR,OVERHAUL & GENERAL"
CHURCH,CHURCH
DENTIST,DENTIST
DEPARTMENT_STORE,DEPARTMENT STORES
FLORIST,"FLORIST, RETAIL"
FURNITURE_STORE,"HOME FURNISHING STORES,RETAIL"
GAS_STATION,GASOLINE SERVICE STATION
GROCERY_OR_SUPERMARKET,"GROCERS, RETAIL"
HARDWARE_STORE,"HARDWARE, RETAIL"
HOSPITAL,HOSPITAL
LAUNDRY,"LAUNDRIES,HAND/AUTOMATIC MACH"
LIBRARY,LIBRARY
LIQUOR_STORE,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES"
LODGING,HOTEL/MOTEL
MOSQUE,MOSQUE
MOVIE_THEATER,MOTION PIC THEATRE(NOT DRV-IN)
NIGHT_CLUB,NIGHT CLUB
PAINTER,PAINTER
PLACE_OF_WORSHIP,PLACE_OF_WORSHIP
PLUMBER,PLUMBER
RESTAURANT,RESTAURANTS
ROOFING_CONTRACTOR,ROOFING_CONTRACTOR
SCHOOL,EDUCATIONAL SERVICES & SCHOOLS
SHOPPING_MALL,SHOPPING_MALL
SYNAGOGUE,SYNAGOGUE
VETERINARY_CARE,VETERINARY_CARE
