name,address,phone,occup_type,b_sic_desc
Physics Restaurant,111 Fire St,911911911,NIGHTCLUB,RESTAURANTS
HCI Bar,112 Fire St,911911912,RESTAURANT,RESTAURANTS
Informatics Grill,113 Fire St,911911913,RESTAURANT,RESTAURANTS
CivelEngineering Coffee,114 Fire St,911911914,RESTAURANT,RESTAURANTS
Physics Restaurant,115 Fire St,911911915,RESTAURANT,RESTAURANTS
HCI Bar,116 Fire St,911911916,RESTAURANT,RESTAURANTS
Informatics Grill,117 Fire St,911911917,NIGHTCLUB,RESTAURANTS
CivelEngineering Coffee,118 Fire St,911911918,RESTAURANT,RESTAURANTS
Physics Restaurant,119 Fire St,911911919,NIGHTCLUB,RESTAURANTS
HCI Bar,120 Fire St,911911920,NIGHTCLUB,NA
Informatics Grill,121 Fire St,911911921,NIGHTCLUB,RESTAURANTS
CivelEngineering Coffee,122 Fire St,911911922,RESTAURANT,RESTAURANTS
Physics Restaurant,123 Fire St,911911923,RESTAURANT,RESTAURANTS
HCI Bar,124 Fire St,911911924,RESTAURANT,RESTAURANTS
Informatics Grill,125 Fire St,911911925,NIGHTCLUB,RESTAURANTS
CivelEngineering Coffee,126 Fire St,911911926,RESTAURANT,RESTAURANTS
